date,value
2014-01-02,98969.87
2014-01-03,96814.27
2014-01-06,95785.46
2014-01-07,98267.69
2014-01-08,99002.53
2014-01-09,97981.88
2014-01-10,98961.71
2014-01-13,94560.67
2014-01-14,99974.2
2014-01-15,102309.38
2014-01-16,102521.74
2014-01-17,100700.91
2014-01-21,102954.51
2014-01-22,103909.8
2014-01-23,102660.52
2014-01-24,96577.45
2014-01-27,93768.65
2014-01-28,93735.98
2014-01-29,90780.23
2014-01-30,95565.04
2014-01-31,94895.45
2014-02-03,88608.31
2014-02-04,90339.3
2014-02-05,89506.45
2014-02-06,92935.81
2014-02-07,97867.57
2014-02-10,99663.9
2014-02-11,103076.92
2014-02-12,103566.85
2014-02-13,106228.66
2014-02-14,106539.02
2014-02-18,108204.68
2014-02-19,105836.74
2014-02-20,107371.84
2014-02-21,106816.55
2014-02-24,108694.63
2014-02-25,108302.66
2014-02-26,107943.34
2014-02-27,110066.33
2014-02-28,109511.05
2014-03-03,107110.53
2014-03-04,111421.71
2014-03-05,112336.22
2014-03-06,111911.62
2014-03-07,110311.29
2014-03-10,110539.88
2014-03-11,109168.11
2014-03-12,110392.9
2014-03-13,105706.15
2014-03-14,103534.15
2014-03-17,106294.04
2014-03-18,110115.33
2014-03-19,108302.66
2014-03-20,109151.83
2014-03-21,105150.87
2014-03-24,102505.37
2014-03-25,103452.57
2014-03-26,99516.91
2014-03-27,97753.24
2014-03-28,98390.1
2014-03-31,100349.75
2014-04-01,105787.74
2014-04-02,106620.61
2014-04-03,104105.75
2014-04-04,95842.58
2014-04-07,92968.52
2014-04-08,95565.04
2014-04-09,100464.12
2014-04-10,91188.43
2014-04-11,88004.03
2014-04-14,89980.06
2014-04-15,90878.19
2014-04-16,94405.56
2014-04-17,94454.55
2014-04-21,96593.84
2014-04-22,98961.71
2014-04-23,96267.18
2014-04-24,99108.67
2014-04-25,94323.86
2014-04-28,95336.38
2014-04-29,97442.98
2014-04-30,98308.5
2014-05-01,99190.35
2014-05-02,98700.43
2014-05-05,100104.83
2014-05-06,96234.52
2014-05-07,95369.07
2014-05-08,95042.44
2014-05-09,96152.92
2014-05-12,100839.66
2014-05-13,101052.04
2014-05-14,99549.59
2014-05-15,97247.05
2014-05-16,99059.69
2014-05-19,101182.6
2014-05-20,100072.19
2014-05-21,102897.29
