entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2014-01-02,2014-10-14,long,82463,1.2121,1.4453,19122.9,19.123,197,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2014-10-14,2014-11-11,long,769,154.7831,167.631,9756.13,8.1924,20,SPY,SPY（标普500ETF）,SPY
2014-11-11,2015-08-21,long,69316,1.8579,1.9911,9102.16,7.0645,195,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2015-08-21,2016-04-04,long,819,168.1896,175.2691,5657.47,4.1051,154,SPY,SPY（标普500ETF）,SPY
2016-04-04,2016-06-27,long,68511,2.0931,1.7092,-26435.25,-18.4252,59,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2016-06-27,2016-07-21,long,681,171.717,184.8094,8794.51,7.5168,17,SPY,SPY（标普500ETF）,SPY
2016-07-21,2018-02-06,long,56165,2.2385,5.4213,178545.22,141.9387,389,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2018-02-06,2018-05-02,long,1332,228.2024,233.3649,6568.98,2.16,59,SPY,SPY（标普500ETF）,SPY
2018-05-02,2018-10-12,long,52615,5.9019,6.8684,50512.25,16.2583,114,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2018-10-12,2019-03-06,long,1466,246.1553,249.722,4865.21,1.3475,97,SPY,SPY（标普500ETF）,SPY
2019-03-06,2019-06-03,long,58714,6.2289,5.9323,-17775.32,-4.8579,61,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2019-06-03,2019-06-25,long,1406,247.3715,265.1789,24676.75,7.0915,16,SPY,SPY（标普500ETF）,SPY
2019-06-25,2019-08-28,long,49510,7.5231,6.8003,-36139.31,-9.6978,45,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2019-08-28,2019-11-01,long,1301,258.3531,276.5807,23366.12,6.9483,46,SPY,SPY（标普500ETF）,SPY
2019-11-01,2020-02-25,long,42998,8.3602,11.6651,141675.37,39.3925,77,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2020-02-25,2020-08-19,long,1696,295.2776,312.2359,28246.18,5.6375,123,SPY,SPY（标普500ETF）,SPY
2020-08-19,2020-09-01,long,32754,16.1511,19.7639,117745.91,22.2466,9,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2020-09-01,2020-12-07,long,2005,322.5133,341.1961,36793.6,5.6871,67,SPY,SPY（标普500ETF）,SPY
2020-12-07,2020-12-22,long,34171,19.9997,20.8812,29422.11,4.303,11,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2020-12-22,2021-02-25,long,2084,341.8984,362.512,42224.75,5.9232,43,SPY,SPY（标普500ETF）,SPY
2021-02-25,2021-02-26,long,33130,22.7799,21.5339,-42012.62,-5.564,1,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2021-02-26,2021-03-31,long,1997,356.885,368.2921,22055.79,3.0931,23,SPY,SPY（标普500ETF）,SPY
2021-03-31,2021-05-13,long,34735,21.1528,21.584,14235.51,1.9365,30,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2021-05-13,2021-06-15,long,1975,379.2195,396.314,32995.83,4.4034,22,SPY,SPY（标普500ETF）,SPY
2021-06-15,2021-09-21,long,29300,26.6869,32.2521,162195.13,20.7326,68,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2021-09-21,2021-10-28,long,2306,409.3014,427.0507,39965.49,4.2322,27,SPY,SPY（标普500ETF）,SPY
2021-10-28,2021-11-29,long,27473,35.8089,39.5944,102964.23,10.461,21,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2021-11-29,2021-12-30,long,2497,435.1237,449.6935,35276.01,3.2451,22,SPY,SPY（标普500ETF）,SPY
2021-12-30,2022-01-21,long,27573,40.6832,28.8835,-326312.54,-29.0749,15,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2022-01-21,2022-04-08,long,1897,419.2359,422.813,5987.14,0.7524,54,SPY,SPY（标普500ETF）,SPY
2022-04-08,2022-04-12,long,31598,25.3576,23.8996,-46847.8,-5.8439,2,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2022-04-12,2023-04-20,long,1803,418.1976,394.693,-43111.67,-5.7148,256,SPY,SPY（标普500ETF）,SPY
2023-04-20,2023-08-16,long,55333,12.8478,18.8083,328937.71,46.247,81,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2023-08-16,2023-11-27,long,2439,426.2653,439.5541,31355.5,3.0144,71,SPY,SPY（标普500ETF）,SPY
2023-11-27,2024-04-16,long,50180,21.343,27.2238,293878.0,27.4261,96,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2024-04-16,2024-05-24,long,2775,491.6766,513.9848,60510.08,4.4327,28,SPY,SPY（标普500ETF）,SPY
2024-05-24,2024-07-26,long,45366,31.4083,31.8964,20709.98,1.4527,42,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2024-07-26,2024-11-27,long,2728,529.7393,588.373,158427.54,10.9574,87,SPY,SPY（标普500ETF）,SPY
2024-11-27,2024-12-19,long,41078,39.034,41.4857,99053.96,6.1745,15,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2024-12-19,2025-07-16,long,2938,579.4562,616.9045,108265.65,6.3563,140,SPY,SPY（标普500ETF）,SPY
2025-07-16,2025-10-17,long,42849,42.2556,50.1824,337673.72,18.6404,66,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2025-10-17,2025-12-17,long,3284,654.081,674.3035,64229.34,2.9887,42,SPY,SPY（标普500ETF）,SPY
2025-12-17,2026-03-09,long,42249,52.3604,46.0078,-270466.18,-12.2202,54,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
2026-03-09,2026-04-29,long,2929,662.8674,709.173,133619.85,6.8787,36,SPY,SPY（标普500ETF）,SPY
2026-04-29,2026-07-13,long,34096,60.8599,72.64,399379.24,19.2368,50,TQQQ,TQQQ（纳指3倍ETF）,TQQQ
